Study_Hours,Previous_Year_Marks,Passed
1.0,35,0
2.0,40,0
2.5,45,0
3.0,48,0
3.5,50,0
4.0,55,1
4.5,58,1
5.0,60,1
5.5,62,1
6.0,65,1
6.5,68,1
7.0,70,1
7.5,72,1
8.0,75,1
8.5,78,1
9.0,80,1
1.5,38,0
2.8,44,0
3.8,52,0
5.2,63,1
1.2,32,0
2.2,41,0
2.7,46,0
3.2,49,0
3.7,53,0
4.2,56,1
4.7,59,1
5.3,61,1
5.8,64,1
6.2,66,1
6.8,69,1
7.2,71,1
7.8,73,1
8.2,76,1
8.8,79,1
9.2,82,1
1.8,36,0
2.5,43,0
3.5,51,0
4.8,57,1
2.1,39,0
2.9,47,0
3.4,54,0
4.1,58,1
4.6,62,1
5.1,65,1
5.7,67,1
6.3,70,1
6.9,74,1
7.4,77,1
7.9,81,1
8.4,84,1
8.9,34,0
9.5,42,0
1.3,48,0
2.4,52,0
3.1,55,0
3.9,60,0
4.4,63,1
5.4,68,1
6.1,71,1
6.6,74,1
7.1,78,1
7.6,80,1
8.1,83,1
8.6,86,1
9.1,37,0
1.7,45,0
2.6,50,0
3.6,56,0
4.3,61,1
4.9,66,1
5.6,69,1
6.4,72,1
7.3,75,1
8.3,79,1
9.3,40,0
2.0,46,0
3.0,53,0
4.0,59,1
5.0,64,1
6.0,68,1
7.0,71,1
8.0,76,1
9.0,82,1
1.4,35,0
2.3,43,0
3.3,49,0
4.5,54,0
5.5,60,1
6.7,65,1
7.7,70,1
8.7,73,1
9.4,78,1
2.7,44,0
3.7,51,0
4.7,57,1
5.7,63,1
6.7,69,1
7.7,74,1
